index,sequence,jaccard
1,car-roundabout,0.9367215700642301
2,dog,0.8831377485543442
3,cows,0.8540934668680595
4,camel,0.8510577188340271
5,blackswan,0.8202776056778588
6,car-shadow,0.7297137288351933
7,judo,0.7187496581963921
8,dance-twirl,0.7116697334256301
9,parkour,0.6886616599515786
10,goat,0.6785313066061927
11,loading,0.561714365127126
12,bike-packing,0.5479024783684577
13,pigs,0.5333211845305453
14,libby,0.4860138675725057
15,breakdance,0.4789145091605107
16,drift-straight,0.4660501083828163
17,mbike-trick,0.447820324142956
18,gold-fish,0.4269637857108516
19,motocross-jump,0.4191831830108644
20,horsejump-high,0.37109765393002186
21,india,0.34879669165470567
22,lab-coat,0.32234563452330156
23,bmx-trees,0.2645636205103357
24,dogs-jump,0.24915044602705952
25,scooter-black,0.24310308921024734
26,paragliding-launch,0.21804580071892873
27,kite-surf,0.1987616393357687
28,soapbox,0.1952517446967133
29,shooting,0.1946736440672782
30,drift-chicane,0.03150849372428147
